id_cargo,liquidacion,transportista,acuerdo,referencia,concepto,monto,moneda
CH-P1-000001-2,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000001-2,FLETE_BASE,1000.00,ARS
CH-P1-000001-3,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000001-3,FLETE_BASE,1000.00,ARS
CH-P1-000001-4,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000001-4,FLETE_BASE,1000.00,ARS
CH-P2-000001-0,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000001-0,FLETE_BASE,1200.00,ARS
CH-P2-000001-1,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000001-1,FLETE_BASE,1200.00,ARS
CH-P2-000001-2,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000001-2,FLETE_BASE,1200.00,ARS
CH-FE1-000001,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE1-000001,FLETE_BASE,1350.00,ARS
CH-FE2-000001,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE2-000001,FLETE_BASE,1150.00,ARS
CH-FD-000001,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-FD-000001,FLETE_BASE,750.00,ARS
CH-REV-000001,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-REV-000001,SEGURO,200.00,ARS
CH-UND-000001,LIQ-ARS-000001,TRANSPORTISTA-DESCONOCIDO,AGR-SCALE-ARS,REM-NOEXIST-000001,FLETE_BASE,1000.00,ARS
CH-USD-OC1-000001,LIQ-USD-000001,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC1-000001,FLETE_MARITIMO,500.00,USD
CH-USD-OC2-000001,LIQ-USD-000001,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC2-000001,FLETE_MARITIMO,500.00,USD
CH-USD-PT-000001,LIQ-USD-000001,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-PT-000001,GASTOS_PUERTO,150.00,USD
CH-USD-FAIL-000001,LIQ-USD-000001,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-FAIL-000001,FLETE_MARITIMO,620.00,USD
CH-N1-000001,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-N1-000001,FLETE_BASE,1000.00,ARS
CH-1N-BASE-000001,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000001,FLETE_BASE,1000.00,ARS
CH-1N-SEG-000001,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000001,SEGURO,200.00,ARS
CH-P1-000002-0,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000002-0,FLETE_BASE,1000.00,ARS
CH-P1-000002-1,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000002-1,FLETE_BASE,1000.00,ARS
CH-P1-000002-2,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000002-2,FLETE_BASE,1000.00,ARS
CH-P1-000002-3,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000002-3,FLETE_BASE,1000.00,ARS
CH-P1-000002-4,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000002-4,FLETE_BASE,1000.00,ARS
CH-P2-000002-0,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000002-0,FLETE_BASE,1200.00,ARS
CH-P2-000002-1,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000002-1,FLETE_BASE,1200.00,ARS
CH-P2-000002-2,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000002-2,FLETE_BASE,1200.00,ARS
CH-FE1-000002,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE1-000002,FLETE_BASE,1350.00,ARS
CH-FE2-000002,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE2-000002,FLETE_BASE,1150.00,ARS
CH-FD-000002,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-FD-000002,FLETE_BASE,750.00,ARS
CH-REV-000002,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-REV-000002,SEGURO,200.00,ARS
CH-UND-000002,LIQ-ARS-000002,TRANSPORTISTA-DESCONOCIDO,AGR-SCALE-ARS,REM-NOEXIST-000002,FLETE_BASE,1000.00,ARS
CH-USD-OC1-000002,LIQ-USD-000002,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC1-000002,FLETE_MARITIMO,500.00,USD
CH-USD-OC2-000002,LIQ-USD-000002,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC2-000002,FLETE_MARITIMO,500.00,USD
CH-USD-PT-000002,LIQ-USD-000002,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-PT-000002,GASTOS_PUERTO,150.00,USD
CH-USD-FAIL-000002,LIQ-USD-000002,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-FAIL-000002,FLETE_MARITIMO,620.00,USD
CH-N1-000002,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-N1-000002,FLETE_BASE,1000.00,ARS
CH-1N-BASE-000002,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000002,FLETE_BASE,1000.00,ARS
CH-1N-SEG-000002,LIQ-ARS-000002,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000002,SEGURO,200.00,ARS
CH-P1-000003-0,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000003-0,FLETE_BASE,1000.00,ARS
CH-P1-000003-1,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000003-1,FLETE_BASE,1000.00,ARS
CH-P1-000003-2,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000003-2,FLETE_BASE,1000.00,ARS
CH-P1-000003-3,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000003-3,FLETE_BASE,1000.00,ARS
CH-P1-000003-4,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000003-4,FLETE_BASE,1000.00,ARS
CH-P2-000003-0,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000003-0,FLETE_BASE,1200.00,ARS
CH-P2-000003-1,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000003-1,FLETE_BASE,1200.00,ARS
CH-P2-000003-2,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000003-2,FLETE_BASE,1200.00,ARS
CH-FE1-000003,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE1-000003,FLETE_BASE,1350.00,ARS
CH-FE2-000003,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE2-000003,FLETE_BASE,1150.00,ARS
CH-FD-000003,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-FD-000003,FLETE_BASE,750.00,ARS
CH-REV-000003,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-REV-000003,SEGURO,200.00,ARS
CH-UND-000003,LIQ-ARS-000003,TRANSPORTISTA-DESCONOCIDO,AGR-SCALE-ARS,REM-NOEXIST-000003,FLETE_BASE,1000.00,ARS
CH-USD-OC1-000003,LIQ-USD-000003,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC1-000003,FLETE_MARITIMO,500.00,USD
CH-USD-OC2-000003,LIQ-USD-000003,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC2-000003,FLETE_MARITIMO,500.00,USD
CH-USD-PT-000003,LIQ-USD-000003,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-PT-000003,GASTOS_PUERTO,150.00,USD
CH-USD-FAIL-000003,LIQ-USD-000003,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-FAIL-000003,FLETE_MARITIMO,620.00,USD
CH-N1-000003,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-N1-000003,FLETE_BASE,1000.00,ARS
CH-1N-BASE-000003,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000003,FLETE_BASE,1000.00,ARS
CH-1N-SEG-000003,LIQ-ARS-000003,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000003,SEGURO,200.00,ARS
CH-P1-000004-0,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000004-0,FLETE_BASE,1000.00,ARS
CH-P1-000004-1,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000004-1,FLETE_BASE,1000.00,ARS
CH-P1-000004-2,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000004-2,FLETE_BASE,1000.00,ARS
CH-P1-000004-3,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000004-3,FLETE_BASE,1000.00,ARS
CH-P1-000004-4,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000004-4,FLETE_BASE,1000.00,ARS
CH-P2-000004-0,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000004-0,FLETE_BASE,1200.00,ARS
CH-P2-000004-1,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000004-1,FLETE_BASE,1200.00,ARS
CH-P2-000004-2,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000004-2,FLETE_BASE,1200.00,ARS
CH-FE1-000004,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE1-000004,FLETE_BASE,1350.00,ARS
CH-FE2-000004,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE2-000004,FLETE_BASE,1150.00,ARS
CH-FD-000004,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-FD-000004,FLETE_BASE,750.00,ARS
CH-REV-000004,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-REV-000004,SEGURO,200.00,ARS
CH-UND-000004,LIQ-ARS-000004,TRANSPORTISTA-DESCONOCIDO,AGR-SCALE-ARS,REM-NOEXIST-000004,FLETE_BASE,1000.00,ARS
CH-USD-OC1-000004,LIQ-USD-000004,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC1-000004,FLETE_MARITIMO,500.00,USD
CH-USD-OC2-000004,LIQ-USD-000004,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC2-000004,FLETE_MARITIMO,500.00,USD
CH-USD-PT-000004,LIQ-USD-000004,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-PT-000004,GASTOS_PUERTO,150.00,USD
CH-USD-FAIL-000004,LIQ-USD-000004,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-FAIL-000004,FLETE_MARITIMO,620.00,USD
CH-N1-000004,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-N1-000004,FLETE_BASE,1000.00,ARS
CH-1N-BASE-000004,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000004,FLETE_BASE,1000.00,ARS
CH-1N-SEG-000004,LIQ-ARS-000004,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000004,SEGURO,200.00,ARS
CH-P1-000005-0,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000005-0,FLETE_BASE,1000.00,ARS
CH-P1-000005-1,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000005-1,FLETE_BASE,1000.00,ARS
CH-P1-000005-2,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000005-2,FLETE_BASE,1000.00,ARS
CH-P1-000005-3,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000005-3,FLETE_BASE,1000.00,ARS
CH-P1-000005-4,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000005-4,FLETE_BASE,1000.00,ARS
CH-P2-000005-0,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000005-0,FLETE_BASE,1200.00,ARS
CH-P2-000005-1,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000005-1,FLETE_BASE,1200.00,ARS
CH-P2-000005-2,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000005-2,FLETE_BASE,1200.00,ARS
CH-FE1-000005,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE1-000005,FLETE_BASE,1350.00,ARS
CH-FE2-000005,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE2-000005,FLETE_BASE,1150.00,ARS
CH-FD-000005,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-FD-000005,FLETE_BASE,750.00,ARS
CH-REV-000005,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-REV-000005,SEGURO,200.00,ARS
CH-UND-000005,LIQ-ARS-000005,TRANSPORTISTA-DESCONOCIDO,AGR-SCALE-ARS,REM-NOEXIST-000005,FLETE_BASE,1000.00,ARS
CH-USD-OC1-000005,LIQ-USD-000005,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC1-000005,FLETE_MARITIMO,500.00,USD
CH-USD-OC2-000005,LIQ-USD-000005,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC2-000005,FLETE_MARITIMO,500.00,USD
CH-USD-PT-000005,LIQ-USD-000005,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-PT-000005,GASTOS_PUERTO,150.00,USD
CH-USD-FAIL-000005,LIQ-USD-000005,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-FAIL-000005,FLETE_MARITIMO,620.00,USD
CH-N1-000005,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-N1-000005,FLETE_BASE,1000.00,ARS
CH-1N-BASE-000005,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000005,FLETE_BASE,1000.00,ARS
CH-1N-SEG-000005,LIQ-ARS-000005,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000005,SEGURO,200.00,ARS
CH-P1-000006-0,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000006-0,FLETE_BASE,1000.00,ARS
CH-P1-000006-1,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000006-1,FLETE_BASE,1000.00,ARS
CH-P1-000006-2,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000006-2,FLETE_BASE,1000.00,ARS
CH-P1-000006-3,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000006-3,FLETE_BASE,1000.00,ARS
CH-P1-000006-4,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000006-4,FLETE_BASE,1000.00,ARS
CH-P2-000006-0,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000006-0,FLETE_BASE,1200.00,ARS
CH-P2-000006-1,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000006-1,FLETE_BASE,1200.00,ARS
CH-P2-000006-2,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000006-2,FLETE_BASE,1200.00,ARS
CH-FE1-000006,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE1-000006,FLETE_BASE,1350.00,ARS
CH-FE2-000006,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE2-000006,FLETE_BASE,1150.00,ARS
CH-FD-000006,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-FD-000006,FLETE_BASE,750.00,ARS
CH-REV-000006,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-REV-000006,SEGURO,200.00,ARS
CH-UND-000006,LIQ-ARS-000006,TRANSPORTISTA-DESCONOCIDO,AGR-SCALE-ARS,REM-NOEXIST-000006,FLETE_BASE,1000.00,ARS
CH-USD-OC1-000006,LIQ-USD-000006,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC1-000006,FLETE_MARITIMO,500.00,USD
CH-USD-OC2-000006,LIQ-USD-000006,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC2-000006,FLETE_MARITIMO,500.00,USD
CH-USD-PT-000006,LIQ-USD-000006,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-PT-000006,GASTOS_PUERTO,150.00,USD
CH-USD-FAIL-000006,LIQ-USD-000006,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-FAIL-000006,FLETE_MARITIMO,620.00,USD
CH-N1-000006,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-N1-000006,FLETE_BASE,1000.00,ARS
CH-1N-BASE-000006,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000006,FLETE_BASE,1000.00,ARS
CH-1N-SEG-000006,LIQ-ARS-000006,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000006,SEGURO,200.00,ARS
CH-P1-000007-0,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000007-0,FLETE_BASE,1000.00,ARS
CH-P1-000007-1,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000007-1,FLETE_BASE,1000.00,ARS
CH-P1-000007-2,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000007-2,FLETE_BASE,1000.00,ARS
CH-P1-000007-3,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000007-3,FLETE_BASE,1000.00,ARS
CH-P1-000007-4,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000007-4,FLETE_BASE,1000.00,ARS
CH-P2-000007-0,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000007-0,FLETE_BASE,1200.00,ARS
CH-P2-000007-1,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000007-1,FLETE_BASE,1200.00,ARS
CH-P2-000007-2,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000007-2,FLETE_BASE,1200.00,ARS
CH-FE1-000007,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE1-000007,FLETE_BASE,1350.00,ARS
CH-FE2-000007,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE2-000007,FLETE_BASE,1150.00,ARS
CH-FD-000007,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-FD-000007,FLETE_BASE,750.00,ARS
CH-REV-000007,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-REV-000007,SEGURO,200.00,ARS
CH-UND-000007,LIQ-ARS-000007,TRANSPORTISTA-DESCONOCIDO,AGR-SCALE-ARS,REM-NOEXIST-000007,FLETE_BASE,1000.00,ARS
CH-USD-OC1-000007,LIQ-USD-000007,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC1-000007,FLETE_MARITIMO,500.00,USD
CH-USD-OC2-000007,LIQ-USD-000007,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC2-000007,FLETE_MARITIMO,500.00,USD
CH-USD-PT-000007,LIQ-USD-000007,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-PT-000007,GASTOS_PUERTO,150.00,USD
CH-USD-FAIL-000007,LIQ-USD-000007,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-FAIL-000007,FLETE_MARITIMO,620.00,USD
CH-N1-000007,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-N1-000007,FLETE_BASE,1000.00,ARS
CH-1N-BASE-000007,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000007,FLETE_BASE,1000.00,ARS
CH-1N-SEG-000007,LIQ-ARS-000007,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000007,SEGURO,200.00,ARS
CH-P1-000008-0,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000008-0,FLETE_BASE,1000.00,ARS
CH-P1-000008-1,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000008-1,FLETE_BASE,1000.00,ARS
CH-P1-000008-2,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000008-2,FLETE_BASE,1000.00,ARS
CH-P1-000008-3,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000008-3,FLETE_BASE,1000.00,ARS
CH-P1-000008-4,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000008-4,FLETE_BASE,1000.00,ARS
CH-P2-000008-0,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000008-0,FLETE_BASE,1200.00,ARS
CH-P2-000008-1,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000008-1,FLETE_BASE,1200.00,ARS
CH-P2-000008-2,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000008-2,FLETE_BASE,1200.00,ARS
CH-FE1-000008,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE1-000008,FLETE_BASE,1350.00,ARS
CH-FE2-000008,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE2-000008,FLETE_BASE,1150.00,ARS
CH-FD-000008,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-FD-000008,FLETE_BASE,750.00,ARS
CH-REV-000008,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-REV-000008,SEGURO,200.00,ARS
CH-UND-000008,LIQ-ARS-000008,TRANSPORTISTA-DESCONOCIDO,AGR-SCALE-ARS,REM-NOEXIST-000008,FLETE_BASE,1000.00,ARS
CH-USD-OC1-000008,LIQ-USD-000008,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC1-000008,FLETE_MARITIMO,500.00,USD
CH-USD-OC2-000008,LIQ-USD-000008,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC2-000008,FLETE_MARITIMO,500.00,USD
CH-USD-PT-000008,LIQ-USD-000008,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-PT-000008,GASTOS_PUERTO,150.00,USD
CH-USD-FAIL-000008,LIQ-USD-000008,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-FAIL-000008,FLETE_MARITIMO,620.00,USD
CH-N1-000008,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-N1-000008,FLETE_BASE,1000.00,ARS
CH-1N-BASE-000008,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000008,FLETE_BASE,1000.00,ARS
CH-1N-SEG-000008,LIQ-ARS-000008,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000008,SEGURO,200.00,ARS
CH-P1-000009-0,LIQ-ARS-000009,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000009-0,FLETE_BASE,1000.00,ARS
CH-P1-000009-1,LIQ-ARS-000009,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000009-1,FLETE_BASE,1000.00,ARS
CH-P1-000009-2,LIQ-ARS-000009,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000009-2,FLETE_BASE,1000.00,ARS
